Mode,File Size (bytes),AES Enc,RSA Enc,Sign,RSA Dec,AES Dec,Verify,Total Time,Overhead (%)
AES_ONLY,712191,0.0014786999963689595,0.0,0.0,0.0,0.001451333334747081,0.0,0.015594199998304248,0.0
AES_RSA,712191,0.0012058333377353847,0.0004909666701375196,0.0,0.000984499987680465,0.0008745000134998312,0.0,0.009068966668564826,16.26940214624781
FULL,712191,0.0011191333372456331,9.946667705662549e-05,0.0010249000042676926,0.0007052000049346437,0.0008545333209137121,7.930001205143829e-05,0.011396866670111194,16.749048256539588
AES_ONLY,2244248,0.0030751333203321942,0.0,0.0,0.0,0.003195399990848576,0.0,0.016349633331022535,0.0
AES_RSA,2244248,0.0031384000030811876,0.0005482333266021063,0.0,0.0009895999974105507,0.004431299991362418,0.0,0.020557133325686056,7.480777108601716
FULL,2244248,0.003490066669958954,0.00015086667068923512,0.001180966666045909,0.0006961999946118643,0.003347666662496825,8.93333344720304e-05,0.028469699997610103,7.437263708422575
AES_ONLY,3151335,0.004954166671571632,0.0,0.0,0.0,0.00568353333316433,0.0,0.025794233341002837,0.0
AES_RSA,3151335,0.004295199983365213,0.00029243333847261965,0.0,0.0008882666588760912,0.004369999999956538,0.0,0.02103066666556212,5.6141824513918825
FULL,3151335,0.005254899995634332,0.0002131000025353084,0.0010779666578552376,0.0007752333282648275,0.004537566671691214,0.00015436666823613146,0.04062496667029336,5.466260870843612
AES_ONLY,5299516,0.007316533330595121,0.0,0.0,0.0,0.007465533330105245,0.0,0.03358943332568742,0.0
AES_RSA,5299516,0.007606466659732784,0.00031153333839029074,0.0,0.0008923999945788333,0.008238800005832067,0.0,0.03539286666394522,3.4016270690940473
FULL,5299516,0.007828466671829423,0.0002004999939041833,0.0011208333501902719,0.0007274666665277133,0.00830696665798314,0.00012953333013380566,0.06370093334893075,3.4196254689454064
AES_ONLY,11165823,0.018578166656273726,0.0,0.0,0.0,0.01701693334810746,0.0,0.0760235999963091,0.0
AES_RSA,11165823,0.017683833323341485,0.0004908666693760703,0.0,0.0014542333180240046,0.017231933336006477,0.0,0.07949200000924368,2.44691288076019
FULL,11165823,0.017248900005749117,0.00020533332523579398,0.001657866669120267,0.0007929000033376118,0.01868796666773657,0.00014509999891743064,0.13280709999768683,2.109224579604474
AES_ONLY,17270815,0.0242816000051486,0.0,0.0,0.0,0.02689753333106637,0.0,0.12546793332633874,0.0
AES_RSA,17270815,0.025503633320719626,0.0003402333434981604,0.0,0.0009934999883019675,0.02566449998994358,0.0,0.12987526667226726,1.0269340467771488
FULL,17270815,0.028795833330756675,0.00013729999773204327,0.001984066669441139,0.0007018000081491967,0.02633966665598564,0.00014420000176566342,0.22924176667584106,1.2944267181835334
AES_ONLY,21200000,0.03317913333497321,0.0,0.0,0.0,0.024909833329729736,0.0,0.27803363332835335,0.0
AES_RSA,21200000,0.03581209999780791,0.00031589998009925085,0.0,0.0013196333311498165,0.02498899998803002,0.0,0.2809759999994033,0.5820900401644769
FULL,21200000,0.031841566669754684,0.00014009999965007106,0.001186833338579163,0.0009465666662435979,0.02727306665231784,0.00016973333549685776,0.3829155666656637,0.6380605942048206
AES_ONLY,42100000,0.0655380333288728,0.0,0.0,0.0,0.06310503333224915,0.0,1.1114609000020816,0.0
AES_RSA,42100000,0.07126943335363951,0.00031056666436294716,0.0,0.001006666667914639,0.055184566658378266,0.0,1.1505133666602585,0.11449091948416792
FULL,42100000,0.06006263332286229,0.00014596666248204807,0.0016012333314089726,0.003931899991584942,0.05053823333582841,0.00015613334835506976,1.356434666668065,0.43018904464928287
AES_ONLY,49352493,0.07396149999112822,0.0,0.0,0.0,0.08524860000276628,0.0,1.4054827000072692,0.0
AES_RSA,49352493,0.08265323333519821,0.000301499996567145,0.0,0.0009115333474862078,0.07898309999533619,0.0,1.4354787666816264,0.0845037469176575
FULL,49352493,0.07377163333391461,0.0001462333311792463,0.0010865999987193693,0.000733233328598241,0.0740860666652831,0.00014226666341225305,1.672503366668631,0.12605853978689352
AES_ONLY,105689149,0.16415120000601746,0.0,0.0,0.0,0.18640043333289213,0.0,3.5983141666608085,0.0
AES_RSA,105689149,0.15473336665309034,0.00033386666715765995,0.0,0.0008995666770109286,0.1589414333284367,0.0,3.512364800000796,0.03511689173540029
FULL,105689149,0.15684216667432338,0.00018773333673986295,0.0013927666586823761,0.0007220000067415336,0.15188330000576875,0.002333766664378345,3.9884540666632042,0.1162421978303208
